pair_id,platform,unit_id,order,elapsed_on_ns,elapsed_off_ns,on_request_hash,off_request_hash
timing-003948,Rikibot,GV2,on_off,24800,15400,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003949,Rikibot,GV1,off_on,23000,15400,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003950,Rikibot,GV2,off_on,23500,15600,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003951,Rikibot,GV1,off_on,21700,15800,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003952,Rikibot,GV2,on_off,22700,16300,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003953,Rikibot,GV1,off_on,21700,17400,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003954,Rikibot,GV2,on_off,22200,16000,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003955,Rikibot,GV1,off_on,24100,15000,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003956,Rikibot,GV2,on_off,22400,16500,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003957,Rikibot,GV1,on_off,23900,15300,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003958,Rikibot,GV2,off_on,22700,15600,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003959,Rikibot,GV1,on_off,26600,15500,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003960,Rikibot,GV2,off_on,22400,15800,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003961,Rikibot,GV1,off_on,26900,15500,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003962,Rikibot,GV2,on_off,26100,16700,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003963,Rikibot,GV1,off_on,23500,17300,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003964,Rikibot,GV2,on_off,23200,16000,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003965,Rikibot,GV1,off_on,24300,16300,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003966,Rikibot,GV2,on_off,23300,15900,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003967,Rikibot,GV1,on_off,24300,16400,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003968,Rikibot,GV2,on_off,22900,15900,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003969,Rikibot,GV1,off_on,22300,15700,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003970,Rikibot,GV2,off_on,23100,15700,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003971,Rikibot,GV1,on_off,22500,15200,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003972,Rikibot,GV2,on_off,23200,16300,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003973,Rikibot,GV1,on_off,26000,16700,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003974,Rikibot,GV2,on_off,24900,16400,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003975,Rikibot,GV1,on_off,24200,16500,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003976,Rikibot,GV2,on_off,26500,31100,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003977,Rikibot,GV1,on_off,67100,17800,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003978,Rikibot,GV2,on_off,28300,18800,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003979,Rikibot,GV1,off_on,25900,17400,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003980,Rikibot,GV2,off_on,24800,17300,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003981,Rikibot,GV1,on_off,118100,29800,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003982,Rikibot,GV2,on_off,37300,21400,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003983,Rikibot,GV1,on_off,32100,18200,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003984,Rikibot,GV2,off_on,26400,22500,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003985,Rikibot,GV1,off_on,28100,18400,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003986,Rikibot,GV2,off_on,27200,22900,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003987,Rikibot,GV1,on_off,26200,24400,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003988,Rikibot,GV2,off_on,26600,18200,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
